name,type,value,date,
邓伦,热度,1783472,第38周,
王俊凯,热度,943536,第38周,
杨紫,热度,810557,第38周,
蔡徐坤,热度,745848,第38周,
迪丽热巴,热度,696698,第38周,
赵丽颖,热度,666295,第38周,
杨幂,热度,642472,第38周,
杨超越,热度,624340,第38周,
易烊千玺,热度,554947,第38周,
鹿晗,热度,524690,第38周,
吴秀波,热度,3154491,第39周,
张雨绮,热度,2984869,第39周,
邓伦,热度,1302201,第39周,
杨紫,热度,671085,第39周,
李晨,热度,666975,第39周,
郑爽,热度,658641,第39周,
迪丽热巴,热度,650796,第39周,
王俊凯,热度,617840,第39周,
蔡徐坤,热度,613824,第39周,
赵丽颖,热度,610035,第39周,
李晨,热度,1680879,第40周,
邓伦,热度,1506570,第40周,
迪丽热巴,热度,913889,第40周,
赵丽颖,热度,903445,第40周,
蔡徐坤,热度,887301,第40周,
王俊凯,热度,795603,第40周,
陈伟霆,热度,695838,第40周,
鹿晗,热度,650980,第40周,
杨紫,热度,647589,第40周,
易烊千玺,热度,594332,第40周,
陈伟霆,热度,1133384,第41周,
赵丽颖,热度,989764,第41周,
迪丽热巴,热度,852513,第41周,
邓伦,热度,798941,第41周,
李晨,热度,778211,第41周,
周润发,热度,677263,第41周,
李健,热度,649539,第41周,
蔡徐坤,热度,573889,第41周,
马思纯,热度,548022,第41周,
杨紫,热度,489478,第41周,
赵丽颖,热度,13189460,第42周,
冯绍峰,热度,10675675,第42周,
江疏影,热度,1102357,第42周,
迪丽热巴,热度,1039339,第42周,
杨幂,热度,930647,第42周,
陈伟霆,热度,847766,第42周,
邓伦,热度,846743,第42周,
倪妮,热度,815911,第42周,
周润发,热度,747575,第42周,
蔡徐坤,热度,692060,第42周,
唐嫣,热度,1844507,第43周,
赵丽颖,热度,1445500,第43周,
罗晋,热度,1329836,第43周,
冯绍峰,热度,706570,第43周,
邓伦,热度,704064,第43周,
杨幂,热度,650592,第43周,
迪丽热巴,热度,647936,第43周,
郭德纲,热度,636058,第43周,
蔡徐坤,热度,568392,第43周,
江疏影,热度,528119,第43周,
唐嫣,热度,1146257,第44周,
赵丽颖,热度,1055964,第44周,
罗晋,热度,828389,第44周,
古天乐,热度,719088,第44周,
郭德纲,热度,648276,第44周,
韩雪,热度,636881,第44周,
迪丽热巴,热度,610553,第44周,
蔡徐坤,热度,569697,第44周,
邓伦,热度,567840,第44周,
杨幂,热度,546138,第44周,
赵丽颖,热度,854757,第45周,
杨超越,热度,750623,第45周,
古天乐,热度,721578,第45周,
吴亦凡,热度,704341,第45周,
韩雪,热度,613729,第45周,
郭德纲,热度,604049,第45周,
杨紫,热度,575653,第45周,
易烊千玺,热度,555702,第45周,
唐嫣,热度,549578,第45周,
张云雷,热度,545296,第45周,
杨超越,热度,1532802,第46周,
赵丽颖,热度,1475266,第46周,
郭德纲,热度,759476,第46周,
林志玲,热度,754310,第46周,
林志颖,热度,647960,第46周,
张云雷,热度,512622,第46周,
于谦,热度,493845,第46周,
迪丽热巴,热度,470335,第46周,
冯绍峰,热度,447357,第46周,
古天乐,热度,442069,第46周,